 Iter cont_resid imp_resid energy_resid
10 1.000000 nan 1.000000
20 0.971532 nan 2.717837
30 0.933321 nan 5.400005
40 0.884591 nan 5.487349
50 0.827396 nan 3.327104
60 0.765345 nan 3.289571
70 0.702144 nan 4.171165
80 0.641099 nan 5.167448
90 0.584441 nan 6.224641
100 0.533245 nan 7.324378
110 0.487740 nan 8.453307
120 0.447646 nan 9.602180
130 0.412449 nan 10.764740
140 0.381555 nan 11.936805
150 0.354386 nan 13.115568
160 0.330416 nan 14.299132
170 0.309185 nan 15.486197
180 0.290298 nan 16.675860
190 0.273424 nan 17.867483
200 0.258281 nan 19.060610
210 0.244634 nan 20.254910
220 0.232284 nan 21.450136
230 0.221065 nan 22.646106
240 0.210836 nan 23.842679
250 0.201476 nan 25.039750
260 0.192883 nan 26.237234
270 0.184970 nan 27.435066
280 0.177662 nan 28.633193
290 0.170894 nan 29.831574
300 0.164610 nan 31.030174
310 0.158761 nan 32.228964
320 0.153304 nan 33.427923
330 0.148203 nan 34.627030
340 0.143423 nan 35.826269
350 0.138937 nan 37.025627
360 0.134718 nan 38.225092
370 0.130744 nan 39.424653
380 0.126994 nan 40.624302
390 0.123450 nan 41.824031
400 0.120096 nan 43.023833
410 0.116917 nan 44.223704
420 0.113900 nan 45.423637
430 0.111033 nan 46.623628
440 0.108305 nan 47.823673
450 0.105707 nan 49.023769
460 0.103229 nan 50.223911
470 0.100863 nan 51.424098
480 0.098603 nan 52.624327
490 0.096441 nan 53.824594
500 0.094370 nan 55.024898
510 0.092386 nan 56.225237
520 0.090483 nan 57.425610
530 0.088657 nan 58.626013
540 0.086902 nan 59.826447
550 0.085215 nan 61.026908
560 0.083591 nan 62.227397
570 0.082028 nan 63.427911
580 0.080522 nan 64.628451
590 0.079070 nan 65.829014
600 0.077669 nan 67.029599
610 0.076316 nan 68.230206
620 0.075010 nan 69.430834
630 0.073747 nan 70.631482
640 0.072526 nan 71.832149
650 0.071345 nan 73.032835
660 0.070201 nan 74.233538
670 0.069093 nan 75.434258
680 0.068019 nan 76.634995
690 0.066978 nan 77.835748
700 0.065969 nan 79.036516
710 0.064989 nan 80.237299
720 0.064038 nan 81.438097
730 0.063114 nan 82.638909
740 0.062216 nan 83.839734
750 0.061344 nan 85.040572
760 0.060495 nan 86.241423
770 0.059669 nan 87.442286
780 0.058866 nan 88.643161
790 0.058084 nan 89.844048
800 0.057322 nan 91.044946
810 0.056580 nan 92.245855
820 0.055857 nan 93.446774
830 0.055152 nan 94.647704
840 0.054465 nan 95.848644
850 0.053795 nan 97.049594
860 0.053140 nan 98.250554
870 0.052502 nan 99.451523
880 0.051878 nan 100.652501
890 0.051269 nan 101.853487
900 0.050675 nan 103.054483
910 0.050094 nan 104.255487
920 0.049526 nan 105.456499
930 0.048970 nan 106.657519
940 0.048427 nan 107.858547
950 0.047896 nan 109.059583
960 0.047377 nan 110.260626
970 0.046868 nan 111.461676
980 0.046370 nan 112.662734
990 0.045883 nan 113.863799
1000 0.045406 nan 115.064870
1010 0.044938 nan 116.265948
1020 0.044481 nan 117.467033
1030 0.044032 nan 118.668124
1040 0.043592 nan 119.869222
1050 0.043161 nan 121.070325
1060 0.042739 nan 122.271435
1070 0.042324 nan 123.472551
1080 0.041918 nan 124.673672
1090 0.041519 nan 125.874799
1100 0.041128 nan 127.075932
1110 0.040744 nan 128.277070
1120 0.040367 nan 129.478213
1130 0.039997 nan 130.679362
1140 0.039634 nan 131.880516
1150 0.039277 nan 133.081675
1160 0.038926 nan 134.282839
1170 0.038582 nan 135.484007
1180 0.038244 nan 136.685181
1190 0.037912 nan 137.886359
1200 0.037585 nan 139.087542
1210 0.037264 nan 140.288730
1220 0.036949 nan 141.489922
1230 0.036638 nan 142.691118
1240 0.036333 nan 143.892318
1250 0.036033 nan 145.093523
1260 0.035738 nan 146.294732
1270 0.035448 nan 147.495946
1280 0.035162 nan 148.697163
1290 0.034881 nan 149.898384
1300 0.034604 nan 151.099609
1310 0.034332 nan 152.300838
1320 0.034063 nan 153.502070
1330 0.033800 nan 154.703307
1340 0.033540 nan 155.904547
1350 0.033284 nan 157.105790
1360 0.033032 nan 158.307037
1370 0.032783 nan 159.508288
1380 0.032539 nan 160.709542
1390 0.032298 nan 161.910800
1400 0.032060 nan 163.112060
1410 0.031826 nan 164.313325
1420 0.031596 nan 165.514592
1430 0.031369 nan 166.715862
1440 0.031145 nan 167.917136
1450 0.030924 nan 169.118413
1460 0.030706 nan 170.319693
1470 0.030491 nan 171.520975
1480 0.030280 nan 172.722261
1490 0.030071 nan 173.923550
1500 0.029865 nan 175.124842
1510 0.029662 nan 176.326136
1520 0.029461 nan 177.527433
1530 0.029264 nan 178.728733
1540 0.029068 nan 179.930036
1550 0.028876 nan 181.131342
1560 0.028686 nan 182.332650
1570 0.028498 nan 183.533960
1580 0.028313 nan 184.735274
1590 0.028131 nan 185.936590
1600 0.027950 nan 187.137908
1610 0.027772 nan 188.339229
1620 0.027597 nan 189.540552
1630 0.027423 nan 190.741878
1640 0.027252 nan 191.943206
1650 0.027082 nan 193.144537
1660 0.026915 nan 194.345870
1670 0.026750 nan 195.547205
1680 0.026587 nan 196.748542
1690 0.026426 nan 197.949882
1700 0.026266 nan 199.151224
1710 0.026109 nan 200.352568
1720 0.025954 nan 201.553915
1730 0.025800 nan 202.755263
1740 0.025648 nan 203.956614
1750 0.025498 nan 205.157966
1760 0.025350 nan 206.359321
1770 0.025204 nan 207.560678
1780 0.025059 nan 208.762037
1790 0.024915 nan 209.963398
1800 0.024774 nan 211.164760
1810 0.024634 nan 212.366125
1820 0.024495 nan 213.567492
1830 0.024359 nan 214.768860
1840 0.024223 nan 215.970231
1850 0.024089 nan 217.171603
1860 0.023957 nan 218.372977
1870 0.023826 nan 219.574353
1880 0.023696 nan 220.775731
1890 0.023568 nan 221.977111
1900 0.023442 nan 223.178492
1910 0.023316 nan 224.379875
1920 0.023192 nan 225.581260
1930 0.023069 nan 226.782646
1940 0.022948 nan 227.984035
1950 0.022828 nan 229.185425
1960 0.022709 nan 230.386816
1970 0.022591 nan 231.588209
1980 0.022475 nan 232.789604
1990 0.022359 nan 233.991001
2000 0.022245 nan 235.192399
