 Iter cont_resid imp_resid energy_resid
10 1.000000 1.000000 1.000000
20 1.263450 1.252803 1.225167
30 1.354616 1.509735 1.303655
40 1.453636 1.688958 1.410608
50 1.578726 1.819099 1.528943
60 1.667849 1.880845 1.607645
70 1.711267 1.943554 1.650604
80 1.780251 2.051904 1.715730
90 1.834810 2.098354 1.765149
100 1.853879 2.121710 1.783702
110 1.890542 2.174166 1.815847
120 1.936813 2.217426 1.860834
130 1.958472 2.259833 1.879816
140 2.002019 2.319140 1.920235
150 2.034283 2.348686 1.949485
160 2.065723 2.374477 1.978764
170 2.110113 2.436323 2.019949
180 2.137380 2.468687 2.043633
190 2.142532 2.494223 2.047685
200 2.179063 2.535229 2.080503
210 2.212435 2.575824 2.111321
220 2.220387 2.590230 2.117709
230 2.228764 2.606195 2.124228
240 2.238157 2.630152 2.132200
250 2.267995 2.670822 2.158967
260 2.289392 2.706456 2.177898
270 2.299829 2.719141 2.186637
280 2.289961 2.706095 2.176914
290 2.298305 2.720642 2.184137
300 2.324428 2.745445 2.208073
310 2.328751 2.751591 2.211709
320 2.316826 2.743538 2.200159
330 2.326051 2.753560 2.208265
340 2.315483 2.750860 2.197322
350 2.541780 2.842412 2.428101
360 2.196206 2.704519 2.077771
370 2.084186 2.654673 1.970674
380 1.961830 2.613651 1.855046
390 1.777362 2.767156 1.679635
400 2.025797 2.622524 2.012254
410 2.288238 2.376902 2.290715
420 1.569798 1.817197 1.554357
430 1.537933 1.621320 1.547337
440 1.611026 1.694555 1.642249
450 1.732539 1.685045 1.743815
460 1.654477 2.003662 1.666542
470 1.751269 1.904230 1.780618
480 1.870885 2.053676 1.923153
490 1.790655 2.180885 1.862102
500 1.878646 2.305793 1.942507
510 1.936857 2.331046 2.015263
520 1.884893 2.454210 1.965496
530 1.971191 2.530423 2.078321
540 1.888907 2.679319 2.000589
550 2.022616 2.625813 2.127873
560 1.939598 2.784337 2.051464
570 2.026461 2.701473 2.143627
580 1.935074 2.832758 2.057692
590 2.001647 2.822415 2.121335
600 1.940531 2.860424 2.056426
610 1.989619 2.789550 2.103483
620 1.928489 2.838934 2.050176
630 1.948116 2.807988 2.067888
640 1.905891 2.813671 2.017598
650 1.913543 2.770517 2.022203
660 1.879841 2.736216 1.987918
670 1.863869 2.698687 1.971696
680 1.839401 2.651925 1.943305
690 1.807759 2.622478 1.903708
700 1.784249 2.568391 1.877522
710 1.710896 2.511585 1.806606
720 1.616244 2.430129 1.709414
730 1.439278 2.320043 1.524141
740 1.141949 2.171416 1.228198
750 1.108399 1.984627 1.123426
760 1.417641 1.778029 1.425851
770 1.537479 1.472796 1.538047
780 1.515488 1.233345 1.512017
790 1.425661 1.376423 1.401620
800 1.365967 1.554833 1.340685
810 1.208836 1.418313 1.173079
820 1.388684 1.234172 1.331716
830 1.425412 1.212910 1.365638
840 1.273914 1.465185 1.204917
850 1.355353 1.304555 1.276903
860 1.496576 1.321939 1.415727
870 1.282292 1.525535 1.184868
880 1.480198 1.416688 1.378064
890 1.477473 1.469031 1.365405
900 1.363929 1.639645 1.238025
910 1.573187 1.457384 1.453004
920 1.418172 1.698234 1.280978
930 1.564859 1.603390 1.427053
940 1.512849 1.699051 1.367720
950 1.540107 1.720017 1.389794
960 1.570143 1.678574 1.417024
970 1.531679 1.775702 1.372324
980 1.597832 1.701904 1.436650
990 1.543090 1.787056 1.375696
1000 1.604741 1.706035 1.438017
1010 1.556158 1.783010 1.382262
1020 1.605294 1.731419 1.430231
1030 1.571854 1.773648 1.393149
1040 1.600003 1.717732 1.421339
1050 1.573602 1.742212 1.390789
1060 1.593226 1.712116 1.410122
1070 1.582311 1.729110 1.397049
1080 1.592499 1.701210 1.404778
1090 1.577088 1.691764 1.389628
1100 1.582101 1.680308 1.393442
1110 1.584391 1.668294 1.394867
1120 1.578622 1.647551 1.389666
1130 1.575757 1.643598 1.387141
1140 1.573314 1.625089 1.385798
1150 1.571730 1.611454 1.384416
1160 1.558782 1.603918 1.374942
1170 1.558463 1.577762 1.371779
1180 1.541651 1.583799 1.352025
1190 1.524144 1.562167 1.334511
1200 1.486971 1.567933 1.298818
1210 1.435224 1.569957 1.256075
1220 1.375849 1.572090 1.199794
1230 1.305809 1.580688 1.130669
1240 1.245563 1.578876 1.065995
1250 1.172453 1.573102 0.997598
1260 1.128463 1.542722 0.967411
1270 1.090639 1.499581 0.953258
1280 1.098834 1.433968 0.983327
1290 1.110897 1.359296 1.007740
1300 1.122071 1.312281 1.051032
1310 1.132066 1.273832 1.081808
1320 1.150557 1.264839 1.125485
1330 1.166993 1.253472 1.155336
1340 1.182554 1.278697 1.189780
1350 1.200883 1.325316 1.233402
1360 1.227623 1.377866 1.265448
1370 1.245744 1.451823 1.286481
1380 1.237726 1.582367 1.278587
1390 1.186784 1.681027 1.236691
1400 1.130315 1.731673 1.176436
1410 1.115041 1.778636 1.184370
1420 1.141248 1.877758 1.223927
1430 1.084729 1.946351 1.193699
1440 1.029410 2.101749 1.112527
1450 1.135670 2.042428 1.259845
1460 1.116713 2.018968 1.241375
1470 1.090059 2.152142 1.215696
1480 1.081602 2.109898 1.205987
1490 1.137914 2.143076 1.282227
1500 1.084964 2.187847 1.228634
1510 1.107274 2.172871 1.233766
1520 1.154575 2.129877 1.298320
1530 1.145534 2.156381 1.267836
1540 1.176082 2.095831 1.306192
1550 1.156712 2.089825 1.284004
1560 1.169141 2.064936 1.288460
1570 1.137052 2.014545 1.250411
1580 1.126534 1.982087 1.241963
1590 1.085320 1.913694 1.193744
1600 1.030861 1.854244 1.134545
1610 0.988213 1.798035 1.088324
1620 0.939528 1.740516 1.030341
1630 0.923310 1.669499 0.962223
1640 1.018439 1.609067 1.028740
1650 1.049499 1.551892 1.052223
1660 1.106982 1.452304 1.121201
1670 1.157184 1.316034 1.172070
1680 1.172552 1.202372 1.182383
1690 1.191643 1.040766 1.205831
1700 1.148671 0.986313 1.163801
1710 1.126517 1.066392 1.127436
1720 1.099256 1.104792 1.083993
1730 1.044135 1.134618 1.022424
1740 0.956956 1.084207 0.933294
1750 0.871862 1.064459 0.855056
1760 0.950459 1.018047 0.897028
1770 1.048055 0.892515 0.985514
1780 1.039666 0.889194 0.969104
1790 0.884706 1.039341 0.817748
1800 0.795811 1.049645 0.708153
1810 0.987515 0.932602 0.899174
1820 1.016195 0.944138 0.918884
