 Iter cont_resid imp_resid energy_resid
10 1.000000 1.000000 1.000000
20 1.281004 1.508847 1.309580
30 2.510950 3.200263 2.722587
40 6.147331 8.657259 6.916786
50 16.473409 22.537587 17.096423
60 40.635847 52.517170 38.299141
70 79.551608 97.836117 69.133637
80 115.362000 135.668939 93.658891
90 132.221888 149.733727 101.745303
100 135.229790 148.058155 99.618653
110 132.950648 141.227167 94.532168
120 129.150914 133.396209 89.208947
130 125.163977 125.942466 84.435324
140 120.936544 118.629083 80.081320
150 116.863605 111.397698 76.199144
160 113.265907 105.015301 73.001723
170 109.813492 98.130111 70.170533
180 106.752459 91.209088 67.788301
190 103.683914 83.720577 65.589071
200 100.723225 75.762958 63.572374
210 97.465897 67.231202 61.470381
220 94.096024 58.399284 59.332992
230 90.762995 49.578426 57.275776
240 87.785319 41.054499 55.474978
250 85.068977 32.953660 53.848554
260 80.931567 24.751215 51.340622
270 71.413794 15.861626 45.418755
280 52.666692 7.936332 33.564952
290 31.992094 3.736648 20.429628
300 16.453762 3.058510 10.552453
310 7.900809 2.307097 5.120670
320 4.371874 1.995643 2.915627
330 3.050715 2.182262 2.042147
340 5.378131 7.788941 4.005643
350 8.858422 13.958922 6.969337
360 7.646520 13.913947 6.246189
370 5.260044 9.907423 4.373013
380 2.183139 3.267916 1.744742
390 2.199774 1.700503 1.662267
400 2.141131 1.784307 1.633716
410 2.099358 2.126771 1.589680
420 2.122566 2.226461 1.639999
430 2.466756 2.253078 1.921724
440 2.347777 2.512683 1.847413
450 2.451231 2.586547 1.928836
460 2.664623 2.542194 2.091457
470 2.570353 2.821413 2.029787
480 2.669420 2.862615 2.114607
490 2.734769 2.928800 2.166627
500 2.672200 3.041466 2.125623
510 2.875075 3.216566 2.270673
520 3.138435 3.619324 2.488589
530 3.731451 4.936123 2.998284
540 6.184275 11.184593 5.143968
550 7.611354 13.377774 6.338469
560 8.054622 14.070662 6.704813
570 8.255166 14.528605 6.869645
580 8.329393 14.809085 6.942120
590 8.427738 15.048842 7.028055
600 8.557796 15.166193 7.130053
610 8.586889 14.857762 7.127892
620 8.400985 13.917002 6.929997
630 8.241929 13.574614 6.811655
640 8.075652 14.129196 6.685750
650 8.648266 14.446195 7.136621
660 8.137086 15.704498 6.775698
670 7.898076 13.114701 6.418661
680 6.692637 12.842887 5.538417
690 7.041762 10.611819 5.666350
700 6.611696 11.178560 5.358189
710 5.552274 10.542313 4.511225
720 7.502058 13.295189 6.105180
730 7.292320 12.400049 5.894539
740 7.121227 11.873849 5.740112
750 7.224370 13.681034 5.894882
760 7.713829 13.643345 6.222886
770 8.230443 12.737014 6.552271
780 7.260075 13.556425 5.837940
790 7.572730 12.150393 5.970208
800 7.448700 12.102257 5.871970
810 6.987694 12.222525 5.481514
820 7.338656 11.412436 5.729907
830 6.816036 11.560740 5.323771
840 6.767362 10.415670 5.228659
850 6.082771 8.754756 4.626724
860 5.454540 7.641135 4.073040
870 5.147626 6.376858 3.775626
880 4.511341 5.180958 3.233261
890 4.191114 3.841573 2.922224
900 3.793002 3.063634 2.575266
910 3.755682 2.787814 2.509047
920 3.675398 2.777899 2.457257
930 3.672945 2.791495 2.457031
940 3.663876 2.810466 2.459616
950 3.828894 2.616719 2.586033
960 3.707988 2.662628 2.489059
970 3.797608 2.439948 2.555440
980 3.524648 2.559070 2.337630
990 3.451440 2.553022 2.272750
1000 3.278877 2.663985 2.138795
1010 3.275611 2.602353 2.136570
1020 3.276253 2.503292 2.151552
1030 3.311385 2.311628 2.187505
1040 2.972010 2.335912 1.942720
1050 3.019183 2.113368 2.037897
1060 3.210526 1.788525 2.182574
1070 3.187518 1.682317 2.177850
1080 3.063408 1.808963 2.098827
1090 2.990221 1.838217 2.050939
1100 2.576659 2.198509 1.759830
1110 2.109440 2.467065 1.430921
1120 1.929026 2.469500 1.305346
1130 2.188351 2.363496 1.502354
1140 2.237933 2.088562 1.585017
1150 2.151782 2.351823 1.490237
1160 2.466614 2.128670 1.759213
1170 2.379265 2.367696 1.716758
1180 2.500570 2.377707 1.833587
1190 2.598989 2.356838 1.909669
1200 2.622465 2.422574 1.935935
1210 2.646601 2.399527 1.982494
1220 2.709811 2.365358 2.041830
1230 2.622047 2.541015 1.980094
1240 2.426161 2.703352 1.838170
1250 2.392510 2.627630 1.893918
1260 2.594449 2.842953 2.085025
1270 2.650660 2.888514 2.144919
1280 2.572697 3.039474 2.079869
1290 2.720372 3.055879 2.208666
1300 2.735288 3.123492 2.224656
1310 2.694668 3.184143 2.212422
1320 2.857896 3.113413 2.311321
1330 2.883650 3.168362 2.364330
1340 2.752316 3.344107 2.277775
1350 2.683903 3.449765 2.235186
1360 2.698364 3.391307 2.222290
1370 2.561920 3.311653 2.125013
1380 2.496223 3.464204 2.041222
1390 2.902406 3.160195 2.312665
1400 2.929732 2.992744 2.343854
1410 2.677910 3.220166 2.166563
1420 2.812942 2.780654 2.219510
1430 3.234215 2.731560 2.513036
